zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
abat-jour,abat-jour,noun,C2,inn khum dawn lama khuavaak luut nadinga kibawl tawlet neu Van pana khuavaak | abat-jour | a-ba-zhoor a-ba-zhoor(Fr.) n. inn khum dawn lama khuavaak luut nadinga kibawl tawlet neu. Van pana khuavaak.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abate,"(v) kam: huihpi kam, theng: meilum theng, dai, nuam tuam deuh: (A na valval nuamtuam deuh hi)",verb,C2,"(v) kam: huihpi kam, theng: meilum theng, dai, nuam tuam deuh: (A na valval nuamtuam deuh hi)",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abate1,meilum theng,vt,C2,"meilum theng | huihpi kam | vt. kam, guahzu kam, daai, a gamlum zuazua pen daai; huihpi kam; meilum theng. vt. susia, phelsia, bangmah hilo sak, kiamsak, natna phatuam sak. abated adj. abatement n. | kam, guahzu kam, daai, a gamlum zuazua pen daai",,,,,,,"Zomi Dictionary, ZomiDict, Dongdot",,
abate2,"v. Gamluah dingpa luahma-a suhsak, laaksak.",,C2,"v. Gamluah dingpa luahma-a suhsak, laaksak.",,,,,,,"Zomi Dictionary, ZomiDict",,
abated,abate,adjective,C2,abate | kam guahzu kam daai a gamlum zuazua pen daai huihpi kam meilum theng susia phelsia bangmah hilo sak kiamsak natna phatuam sak,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abatis,abatis,n,C2,"abatis | singkung kiphuuka, a hiangte huang pawlam kinga saka huang uumna, tu hun ciangin siikling tawh kuama luut theih loh nadinga a pawlam ngasa-in huang ki-uum hi | singkung kiphuuka a hiangte huang pawlam kinga saka huang uumna tu hun ciangin siikling tawh kuama luut theih loh nadinga a pawlam ngasa-in huang ki-uum hi | n. singkung kiphuuka, a hiangte huang pawlam kinga saka huang uumna, tu hun ciangin siikling tawh kuama luut theih loh nadinga a pawlam ngasa-in huang ki-uum hi.",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abatphakloh,ultra,pref,C2,,,,,,,,,,
abattoir,"(n) sa gawhna inn, sa zuakte gangawhna inn",noun,C2,"(n) sa gawhna inn, sa zuakte gangawhna inn",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abature,"n. sa zawi, sazuk paina zawi khekhaap., abature",n,C2,"n. sa zawi, sazuk paina zawi khekhaap. | abature | zawi, sazuk paina zawi khekhaap | sa zawi sazuk paina zawi khekhaap",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abatwar,"abatwar, sagawhna inn sa zuakte’ sagawhna inn",noun,C2,abatwar | sagawhna inn sa zuakte’ sagawhna inn,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abawkkhia,tumescent,,C2,tumescent,,,,Amahpen saingak “Shopkeeper” nasep asemkhat hi,,,Tongdot-TKD,,
abawldan,method,n,C2,,,,,Tuate lakpan in mihing abawldan pen tuamdeuh special in bawl hi.,,,,,
abawlmi,maker,n,C2,maker,,,abawlpa,na theih uh omnai ahi hiam?,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
abawlpa,creator,n,C2,creator,,,abawlmi,Hih Pasian — a thu kicing,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-VZT, zomidictionary.app",,
abawm,case,n,C2,,,,,Abawm phel in amarn lakhia ding in ka kithawi hi.,,,,,
abba,spirit,n|noun,C1,spirit | forth | received | bondage | again,,,,LST sungah Pasian mahmah Abba- pa ci-in kigen hi.,,,"Tongdot-DLH, Tongdot-MCPG, Dr. Dal Lian Haokip",2,ROM
abbacy,abbacy,noun,C2,"abbacy | abbey sunga phungzipa’ dinmun leh a thuneih hun sung Phungzimakaipa pen abbot kici-a, numei phungzi saanga makainu pen abbess kici hi",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abbassid,(AD 750-1258) sunga Baghdad khua a uk Caliphte laka mi khat peuh. Mohammed pano Abbas ii suan leh khaakte.,n|noun,C2,(AD 750-1258) sunga Baghdad khua a uk Caliphte laka mi khat peuh. Mohammed pano Abbas ii suan leh khaakte. | n. (AD 750-1258) sunga Baghdad khua a uk Caliphte laka mi khat peuh. Mohammed pano Abbas ii suan leh khaakte. | abbassid | (AD 750-1258) sunga Baghdad khua a uk Caliphte laka mi khat peuh,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abbe,"(Fr) siampi neute, Piantit phungzi",n,C2,(Fr) siampi neute | Piantit phungzi | abbe | n. (Fr) siampi neute | siampi neute,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abbess,"(n) biakna innpi sung a sainu, numeite a keem a uknu",noun,C2,"(n) biakna innpi sung a sainu, numeite a keem a uknu",,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
abbey,"(n) biakna makaite teenkhawmna inn, biakna lam sai a akipia numei",noun,C2,"(n) biakna makaite teenkhawmna inn, biakna lam sai a akipia numei",,,,Isaac Newton pen Westminster Abbey ah kivui hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abbot,(n) phungki tlawnginn uktu siangbawi upa bik,noun,C2,(n) phungki tlawnginn uktu siangbawi upa bik,,,,Abbot-te'n lo pa silsiam uhiam?,,,"Tongdot-MCPG, Dr. Mang Cin Pau Gualnam, TongDot",,
abbreviate,"(n) thukaihtom, thu tomlak, atukauh a gen, tomkaih",vt,C2,"(n) thukaihtom, thu tomlak, atukauh a gen, tomkaih",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abc,"(n) laimal bulpi thumte athubulpi, apatcilna",n|abbreviation|noun,C2,"(n) laimal bulpi thumte athubulpi, apatcilna",,,,Hih-te pen ABC ahi hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
abcc,"ABCC, abcc",abbreviation,C2,ABCC | abcc | Association of British Chambers Commerce. | (tom) Association of British Chambers Commerce.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abda,adoniram,,A2,adoniram | galal | son | abda | over,,,,Ahishar in kumpipa inn uk ahi hi; Abda’ tapa Adoniram,,,,2,1KI
abde,seraiah,,B1,seraiah | son | king | commanded | jerahmeel,,,,,,,,1,JER
abdi,malluch,n,A2,malluch | son | jehiel | sons | abdi,,,beh,leh Elijah ahi uh hi.,,Attested 165× across 4 Bible books.,,3,1CH
abdicate,"(v) khahkhia ahihna khahkhia ta hi, tawpsan, nusia (kumpi ahihna tawpsan ta hi)",vt|transitive verb,C2,"(v) khahkhia ahihna khahkhia ta hi, tawpsan, nusia (kumpi ahihna tawpsan ta hi)",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
abdiel,son,,A2,son | ahi | abdiel | guni | chief,,,,Guri’ tapa Abdiel’ tapa Ahi in amau’ behte sungah ukpi ahi hi;,"Ahi the son of Abdiel, the son of Guni, chief of the house of their fathers.",,,1,1CH
abdomen,"(n) pumpi, pum",n,C2,"(n) pumpi, pum",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
"abdomen
belly
stomach",gil,,C2,gil,,,,,,,Tongdot-VZT,,
abdominal,"(adj.): pumpi lam , pumsung lam",adjective,C2,"(adj.): pumpi lam , pumsung lam",,,,Gilpi satak Abdominal muscle I nuih ciang I gilpi satak,,,"TongDot, Tongdot-TKD, Dongdot",,
abdon,abdon,n,A1,abdon | pirathonite | zur | son | suburbs,,,"tapa, asher, gamte, lonona, kish","Ama tapa upa pen in: Abdon, tua ciangin Zur, Kish, Baal, Nadab,","And his firstborn son Abdon, and Zur, and Kish, and Baal, and Nadab,",Attested 530× across 8 Bible books.,,4,JOS
abduct,"(v) kaimang, pimang, taimangpih, taipihmang",vt|transitive verb,C2,"(v) kaimang, pimang, taimangpih, taipihmang",,,,Ahi zongin aden ciangin Rohingya pasal khatin atanu aguksawm “Abduct” sawm nahizaw,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abductee,"a kipaikhiatpih mi, abduct",noun,C2,a kipaikhiatpih mi | abduct,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abductor,(n.): အဓမ္မခေါ်ဆောငသူ။ ဖြားယောင်း သူ။,,C2,(n.): အဓမ္မခေါ်ဆောငသူ။ ဖြားယောင်း သူ။,,,,Yanni in amah a matu (abductor) thei hi ding hi.,,,TongDot,,
"abdurate
obstinate",hi tengtang,,C2,hi tengtang,,,,,,,Tongdot-DLH,,
abeam,(adv.): lawng ruangpi thawn a ruangin,adverb,C2,(adv.): lawng ruangpi thawn a ruangin,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
abecedarian,(n.) laimal bul sim a kipan tuung mi khat; a kipanciil sangnaupang sinna khatpeuh-a a kipantung mi khat,n|noun,C2,(n.) laimal bul sim a kipan tuung mi khat; a kipanciil sangnaupang sinna khatpeuh-a a kipantung mi khat,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
abed,(adv) lupna ah,adv,C2,(adv) lupna ah,,,,Nidanga Abed-nego pen tuhun ciang a khiatna tuam om tuan lo,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abednego,abed,n,B2,abed | shadrach | set | visage | nego,"shadrak, meshak",,"kumpipa, mai, phualpi, mei, babylon",Daniel pen kumpi innsungah a omsak hi.,,Attested 1870× across 2 Bible books.,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",1,DAN
abeemlam,spherical,a,C2,spherical,,,abeem a kigit,Bang hang hiam cih leh leenggah lo eka sawm in,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
abehlap,adjunct,v,C2,,,,,Gam khat peuh in akisapna zui in state thak abehlap,,,,,
abehlapna,co-opt,v,C2,co-opt,,,,Amah in a nasep sem hi.,He is doing his work.,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,
abei,day,,A2,day | first | last | read | book,,,,"Leitung ni abei ciang in-ah,.",,,,1,NEH
abeita,deceased,a,C2,,,,,Rehiring Programme pen abeisa in aki gengensa mahbangin June 30,,,,,
abel,missing,n,A1,missing | keeper | fat | abel | seed,abelbethmaakah,,"kain, sanggampa, biakna, leuleu, kempa","Kain, lo khopa ahi hi.",,Attested 856× across 10 Bible books.,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",5,GEN
abelard,abelard,fr,C2,"abelard | saangsia Lai Siangtho siam thungaihsut siam thuhilh sia. | Abelard | n | Fr. n. saangsia, Lai Siangtho siam, thungaihsut siam, thuhilh sia.",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abelbeth,ijon,,A2,ijon | captains | hosts | against | cities,,,,,,,,1,1KI
abelbethma,ijon,,A2,ijon | king | assyria | israel | came,,,,Israel kumpipa Pekah' hun lai takin Assiria kumpipa Tiglath-pileser hong pai-in Ijon,,,,1,2KI
abelbethmaakah,abel,n,C2,abel | beth | maachah | israel | king,abel,,"pai, israel, khuapi, khua, kumpi",amah zui-in khuapi sungah tum uh hi.,,Attested 605× across 6 Bible books.,,,
abelhna,plaster,n,C2,,,,,,,,,,
abelkeramim,cities,n,A2,cities | even | aroer | till | thou,,,,Amah in Aroer panin Minnith kiimnai ciangdong khuapi sawmnih,,Attested 170× across 2 Bible books.,,1,JDG
abelmaim,abel,n,A2,abel | cities | against | israel | smote,,,,leh Naftali vankoihna khuapite a zo uh hi.,,Attested 150× across 2 Bible books.,,1,2CH
abelmeholah,trumpets,n,A2,trumpets | place | meholah | son | abel,,,tapa,Ahilud' tapa Baana: Taanak khua,,Attested 330× across 4 Bible books.,,2,JDG
abelmizraim,abel,n,A1,abel | mourning | egyptians | wherefore | name,"kahna, buhcilna",,"muh, nasia, egypt, jordan, gun",Tua gama teng Kanaan mite in,,Attested 162× across 2 Bible books.,,1,GEN
abelshittim,abel,n,A1,abel | beth | jeshimoth | even | shittim,,,,Jordan kiang Bethjeshimoth panin Moab zanglei sunga om Abelshittim dongah,,Attested 65× across 2 Bible books.,,1,NUM
abem,spherical,,C2,spherical,,,,A khiatna pen abem bilbel a ki khukkhuk cihna hi.,,,Tongdot-TKD,,
"abem
athau",plump,,C2,plump,,,,,,,Tongdot-TKD,,
aberranee,aberranee,noun,C2,Lampial a maan pan a maan lo-ah pial mi paidan paipi tawh kibang lo-a tuam pai tuam om taangpi tawh kibang lo | aberranee,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
aberrant,"(a) lammaan a zuilo, ahilo, lama paigawp, gamtatna maan zanglo",adj|adjective,C2,"(a) lammaan a zuilo, ahilo, lama paigawp, gamtatna maan zanglo",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
aberrate,aberration,,C2,aberration,,,,,,,Dongdot,,
abet,"(v) sawl, hansuah, (na hoihlo khat hih dinga sawl)",vt,C2,"(v) sawl, hansuah, (na hoihlo khat hih dinga sawl)",,,,Tua athahlupkhak azi pen kum 38 aphakhin khat hi,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abetor,"a hoihlo seem dinga hanthawn thaang an tah siah, abetor",noun,C2,a hoihlo seem dinga hanthawn thaang an tah siah | abetor,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abetter,(n.): (မကောင်းမှုကျူးလွန်ရာ၌) အားပေးကူညီသူ။,,C2,(n.): (မကောင်းမှုကျူးလွန်ရာ၌) အားပေးကူညီသူ။,,,,,,,TongDot,,
abettor,"(n) na hoihlo hih dinga a sawlpa, na hih dinga a sawlpen",,C2,"(n) na hoihlo hih dinga a sawlpa, na hih dinga a sawlpen",,,,,,,"TongDot, tongdot",,
abeyant,"abeyant, khawlphotna zat nawn lohna zatloh photna",adjective,C2,abeyant | khawlphotna zat nawn lohna zatloh photna,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abhor,"(v) hua, deihlo, ning, cimtak",vt,C2,"(v) hua, deihlo, ning, cimtak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abhorent,"Huathuai a deihhuai lo kihhuai muhdahhuai, adj. Huathuai, a deihhuai lo, kihhuai, muhdahhuai",adj,C2,"Huathuai a deihhuai lo kihhuai muhdahhuai | adj. Huathuai, a deihhuai lo, kihhuai, muhdahhuai | abhorent | Huathuai, a deihhuai lo, kihhuai, muhdahhuai",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abhorrent,"(a) ahuat huai, a deihhuailo",adjective,C2,"(a) ahuat huai, a deihhuailo",,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
abhorrer,"abhor, n. na khat peuh a kihpa.",n,C2,abhor | n. na khat peuh a kihpa. | na khat peuh a kihpa | khat peuh a kihpa,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abi,albon,n,A2,albon | abi | years | arbathite | azmaveth,,,,"Betharabah khuami Abi-albon, Bahurim khuami Azmaveth,","Abi–albon the Arbathite, Azmaveth the Barhumite,",Attested 120× across 2 Bible books.,,2,2SA
abiah,abijah,n,A2,abijah | meshullam | mijamin,abijah,,,,,Attested 35× across 2 Bible books.,,1,NEH
abialbon,abi,n,C2,abi | albon | arbathite | azmaveth | barhumite,,,,"Betharabah khuami Abialbon, Bahurim khuami Azmaveth,","Abi–albon the Arbathite, Azmaveth the Barhumite,",Attested 45× across 2 Bible books.,,,
abiasaf,sons,n,C2,sons | korah | assir | elkanah | abiasaph,,,,"Korah' tapate: Assir, Elkanah, leh Abiasaf hi",,Attested 70× across 2 Bible books.,,,
abiathar,abiathar,n,A2,abiathar | zadok | priests | ahitub | king,,,"siampi, zadok, david, tapa, siampite",Sheva in lai-atpa ahi hi; Zadok leh Abiathar in siampite,,Attested 2415× across 10 Bible books.,,4,1SA
abib,day,n,A1,day | thou | abib | keep | month,,,"note, paikhia, bawl, egypt, sungin","Abib kha, tuni-in note a paikhia na hi uh hi.",This day came ye out in the month Abib.,Attested 500× across 4 Bible books.,,2,EXO
abida,epher,n,A1,epher | sons | midian | ephah | hanoch,,,"hanok, suanlekhakte, efer, eldaah, efah",leh Eldaah ahi hi. Hihte khempeuh,,Attested 187× across 4 Bible books.,,2,GEN
abidan,son,n,A1,son | benjamin | gideoni | abidan | children,"benjamin, ithai",,"tapa, benjamin",Benjamin : sung panin Gideoni' tapa Abidan;,Of Benjamin; Abidan the son of Gideoni.,Attested 165× across 2 Bible books.,,1,NUM
abide,"(v) teeng, om, thuak (hibang gamtatna ka thuak zo kei hi)",adjective,C2,"(v) teeng, om, thuak (hibang gamtatna ka thuak zo kei hi)",,,,"com/kei-tawh-omkhawm-in-abide-with-me-agelhzam-khat-kham/"", ""depth"": 0, ""zolai_score"": 0.",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
abidicate,"na sep tawp hi, abidicate",transitive & intransitive verb,C2,na sep tawp hi | abidicate,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
abiding,"(a) abei theilo, tawp hun omlo, sawtpi om thei",adj,C2,"(a) abei theilo, tawp hun omlo, sawtpi om thei",,,,(2) Peace Law Abiding Medalof 1994 Sr,,,"Tongdot-DLH, Tongdot-MCPG, Dr. Dal Lian Haokip",,
abiel,zeror,n,A2,zeror | abner | arbathite | son | abiel,,,,"Ga-ash mualkuam mi Hurai, Betharabah khuami Abiel,","Hurai of the brooks of Gaash, Abiel the Arbathite,",Attested 185× across 4 Bible books.,,2,1SA
abientot,"abientot, sawt lo-in kimu kik ni",interjection,C2,abientot | sawt lo-in kimu kik ni | Fr. a sawt lo-in kimu kik ni. | a sawt lo-in kimu kik ni,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abiezer,anathothite,n,A1,anathothite | families | angel | there | vintage,,,"tapa, khuami, anathoth, khua, ofrah","Anathoth khuami Abiezer, Hushah mi Mebunnai,","Abiezer the Anathothite, Mebunnai the Hushathite,",Attested 625× across 8 Bible books.,,4,JOS
abigail,abigail,n,A2,abigail | david | nabal | wife | nabal's,,,"david, karmel, ahinoam, jezreel, meigongnu",Amasa’ pa in Ishmael mi Jether ahi hi.,,Attested 1715× across 6 Bible books.,,3,1SA
abigailte,wife,,A2,wife | jezreelitess | abigail | nabal | carmelite,,,,"David’ zi nihte, Jezre-el khuami Ahinoam leh Karmel khuami Nabal",,,,2,1SA
abihail,zuriel,n,A1,zuriel | abishur | jahdo | son | mordecai,,,,Abishur' zi' min Abihail hi,,Attested 160× across 4 Bible books.,,4,NUM
abihu,nadab,n,A1,nadab | abihu | come | eleazar | sons,,,"nadab, ithamar, eleazar, aaron, tapate","Aaron in ta Nadab, Abihu, Eleazar, leh Ithamar nei hi.","And unto Aaron was born Nadab, and Abihu, Eleazar, and Ithamar.",Attested 965× across 8 Bible books.,,4,EXO
abihud,abihud,n,A2,abihud | gera | sons | bela | addar,,,,"Bela’ tapate in: Addar, Gera, Abihud,","And the sons of Bela were, Addar, and Gera, and Abihud,",Attested 40× across 2 Bible books.,,1,1CH
abijah,abijah,n,A2,abijah | son | second | fell | asa,abiah,,"tapa, jeroboam, rehoboam, sung, tanu","a sagihna Hakkoz tung, a giatna Abijah tung,","The seventh to Hakkoz, the eighth to Abijah,",Attested 2035× across 12 Bible books.,,7,1SA
abijam,reigned,n,A2,reigned | war | slept | abijam | son,,,"sungah, tapa, khuapi, david, tangin",Tu-in Nebat' tapa Kumpi Jeroboam' kum sawmlegiatna kumin Abijam in,,Attested 375× across 2 Bible books.,,1,1KI
abilene,lysanias,n,C1,lysanias | tetrarch | being | galilee | brother,"iturea, pontias, lysanias",,,Gam tampi a uk Sisar Tiberius in a ukzawh a kum sawmlengana,,Attested 170× across 2 Bible books.,,1,LUK
abilities,"(n.): hihtheihnate, hihtheihzahte",,C2,"(n.): hihtheihnate, hihtheihzahte",,,,The training should also take into consideration the trainees abilities,,,"TongDot, tongdot",,
ability,"(n) hihtheihzah, hih theihna, (pilna siamna tawh hih theihzah)(tha hatna tawh hih zawhzah)",n|noun,C2,"(n) hihtheihzah, hih theihna, (pilna siamna tawh hih theihzah)(tha hatna tawh hih zawhzah)",,,,(Ability test) hong pai ding hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
"ability
capacity",hih theihna,,C2,hih theihna,,,,,,,Tongdot-DLH,,
abimael,abimael,n,A1,abimael | sheba | ebal | obal,,,sheba,"Ebal mite, Abimael mite, Sheba mite,","And Ebal, and Abimael, and Sheba,",Attested 77× across 4 Bible books.,,2,GEN
abimelek,abimelech,n,A1,abimelech | rose | called | abraham | took,"naihuai, arumah",,"shekhem, pai, tapa, abraham, paikhia",Abimelek in Israelte tungah kum thum sung uk hi.,"When Abimelech had reigned three years over Israel,",Attested 5835× across 4 Bible books.,,3,GEN
abinadab,malchi,n,A2,malchi | came | abinadab | next | shimma,,,"saul, jonathan, malkhishua, jessi, thumna","Jessi in a tacil Eliab, a nihna Abinadab, thumna Shimea,","And Jesse begat his firstborn Eliab, and Abinadab the second, and Shimma the third,",Attested 770× across 4 Bible books.,,2,1SA
abinitio,"abinitio, akipat cil akipan",adverb,C2,abinitio | akipat cil akipan,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
abinito,"kipat tuunga kipanin, abinito",a,C2,kipat tuunga kipanin | abinito | a kipat tuunga kipanin,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abinoam,called,,A2,called | shewed | barak | son | abinoam,,,,"Tabor Mual-ah paito khin ci-in Sisera kiangah a kigen ciangin,",,,,1,JDG
abintra,"abintra, a sung panin",a,C2,abintra | a sung panin | panin | a sung panin.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abiogenesis,a nungta na pana nuntaakna kipat khiatna a mah leh amah-a nuntaakna kipat khiatna,n|noun,C2,"a nungta na pana nuntaakna kipat khiatna a mah leh amah-a nuntaakna kipat khiatna | nungta na pana nuntaakna kipat khiatna, a mah leh amah-a nuntaakna kipat khiatna | n. a nungta na pana nuntaakna kipat khiatna, a mah leh amah-a nuntaakna kipat khiatna. | abiogenesis",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abiosis,"nuntaakna om lo hihna om lo, n. nuntaakna om lo, hihna om lo.",n,C2,"nuntaakna om lo hihna om lo | n. nuntaakna om lo, hihna om lo. | abiosis | nuntaakna om lo, hihna om lo",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abiotic,"adj. Nuntaakna nei lo, a nungta lo (nate), abiotic",adj,C2,"adj. Nuntaakna nei lo, a nungta lo (nate) | abiotic | Nuntaakna nei lo, a nungta lo (nate)",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
abiram,dathan,n,A1,dathan | reuben | set | covered | abiram,dathan,,"dathan, korah, tapa, moses, eliab","lei kihongin Dathan valhtum a, Abiram’ pawlte vukcip hi.","The earth opened and swallowed up Dathan, and covered the company of Abiram.",Attested 810× across 4 Bible books.,,3,NUM
abiramte,dathan,,A1,dathan | about | abiram | sons | korah,,,,Moses in Eliab’ tapa Dathan leh Abiramte sam sak hi; amaute in,,,,2,NUM
abishag,abishag,n,A2,abishag | shunammite | give | adonijah | dost,,,"shunem, kumpipa, kumpi, ngetsak, solomon","Shunem mi Abishag mu-in, kumpipa kiangah amah paipih uh hi.",,Attested 495× across 2 Bible books.,,1,1KI
abishai,abishai,n,A2,abishai | brother | zeruiah | son | saul,,,"tapa, joab, david, sanggampa, that",Tua ciangin Zeruiah' tapa Abishai in Ci Kuam-ah Edom mite,,Attested 2355× across 6 Bible books.,,3,1SA
abishua,abishua,n,A2,abishua | son | phinehas | eleazar | begat,,,"finehas, tapa, suanlekhakte, eleazar, aaron","Eleazar' suanlekhakte: A tapa Finehas, a tapa Abishua,","Eleazar begat Phinehas, Phinehas begat Abishua,",Attested 220× across 4 Bible books.,,2,1CH
